"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe","raceName"
"06001","Alameda County, California","B03002_003",520447,487,1656754,NA,"White"
"06001","Alameda County, California","B03002_004",171168,1541,1656754,NA,"Black"
"06001","Alameda County, California","B03002_005",5210,310,1656754,NA,"American Indian/Alaska Native"
"06001","Alameda County, California","B03002_006",496006,2088,1656754,NA,"Asian"
"06001","Alameda County, California","B03002_007",13277,397,1656754,NA,"Native Hawaiian/Pacific Islander"
"06001","Alameda County, California","B03002_008",5407,852,1656754,NA,"Other"
"06001","Alameda County, California","B03002_009",74220,2515,1656754,NA,"Multi-Race"
"06001","Alameda County, California","B03002_012",371019,NA,1656754,NA,"Latino"
"06003","Alpine County, California","B03002_003",551,118,1039,161,"White"
"06003","Alpine County, California","B03002_004",9,22,1039,161,"Black"
"06003","Alpine County, California","B03002_005",314,47,1039,161,"American Indian/Alaska Native"
"06003","Alpine County, California","B03002_006",10,16,1039,161,"Asian"
"06003","Alpine County, California","B03002_007",0,12,1039,161,"Native Hawaiian/Pacific Islander"
"06003","Alpine County, California","B03002_008",0,12,1039,161,"Other"
"06003","Alpine County, California","B03002_009",25,19,1039,161,"Multi-Race"
"06003","Alpine County, California","B03002_012",130,67,1039,161,"Latino"
"06005","Amador County, California","B03002_003",30035,34,38429,NA,"White"
"06005","Amador County, California","B03002_004",848,107,38429,NA,"Black"
"06005","Amador County, California","B03002_005",249,86,38429,NA,"American Indian/Alaska Native"
"06005","Amador County, California","B03002_006",477,135,38429,NA,"Asian"
"06005","Amador County, California","B03002_007",52,46,38429,NA,"Native Hawaiian/Pacific Islander"
"06005","Amador County, California","B03002_008",10,13,38429,NA,"Other"
"06005","Amador County, California","B03002_009",1418,226,38429,NA,"Multi-Race"
"06005","Amador County, California","B03002_012",5340,NA,38429,NA,"Latino"
"06007","Butte County, California","B03002_003",162537,240,225817,NA,"White"
"06007","Butte County, California","B03002_004",3342,347,225817,NA,"Black"
"06007","Butte County, California","B03002_005",1699,292,225817,NA,"American Indian/Alaska Native"
"06007","Butte County, California","B03002_006",10057,573,225817,NA,"Asian"
"06007","Butte County, California","B03002_007",476,151,225817,NA,"Native Hawaiian/Pacific Islander"
"06007","Butte County, California","B03002_008",321,191,225817,NA,"Other"
