"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe"
"06001400100","Census Tract 4001, Alameda County, California","B01001_001",3120,208,3120,208
"06001400200","Census Tract 4002, Alameda County, California","B01001_001",2007,120,2007,120
"06001400300","Census Tract 4003, Alameda County, California","B01001_001",5051,309,5051,309
"06001400400","Census Tract 4004, Alameda County, California","B01001_001",4007,344,4007,344
"06001400500","Census Tract 4005, Alameda County, California","B01001_001",4124,357,4124,357
"06001400600","Census Tract 4006, Alameda County, California","B01001_001",1745,133,1745,133
"06001400700","Census Tract 4007, Alameda County, California","B01001_001",5128,447,5128,447
"06001400800","Census Tract 4008, Alameda County, California","B01001_001",4069,442,4069,442
"06001400900","Census Tract 4009, Alameda County, California","B01001_001",2471,285,2471,285
"06001401000","Census Tract 4010, Alameda County, California","B01001_001",6133,501,6133,501
"06001401100","Census Tract 4011, Alameda County, California","B01001_001",4287,354,4287,354
"06001401200","Census Tract 4012, Alameda County, California","B01001_001",2619,182,2619,182
"06001401300","Census Tract 4013, Alameda County, California","B01001_001",3921,263,3921,263
"06001401400","Census Tract 4014, Alameda County, California","B01001_001",4732,504,4732,504
"06001401500","Census Tract 4015, Alameda County, California","B01001_001",2839,368,2839,368
"06001401600","Census Tract 4016, Alameda County, California","B01001_001",2289,217,2289,217
"06001401700","Census Tract 4017, Alameda County, California","B01001_001",3018,339,3018,339
"06001401800","Census Tract 4018, Alameda County, California","B01001_001",1801,265,1801,265
"06001402200","Census Tract 4022, Alameda County, California","B01001_001",2477,210,2477,210
"06001402400","Census Tract 4024, Alameda County, California","B01001_001",2866,375,2866,375
"06001402500","Census Tract 4025, Alameda County, California","B01001_001",1781,222,1781,222
"06001402600","Census Tract 4026, Alameda County, California","B01001_001",1243,117,1243,117
"06001402700","Census Tract 4027, Alameda County, California","B01001_001",1890,228,1890,228
"06001402800","Census Tract 4028, Alameda County, California","B01001_001",4480,435,4480,435
"06001402900","Census Tract 4029, Alameda County, California","B01001_001",1406,126,1406,126
"06001403000","Census Tract 4030, Alameda County, California","B01001_001",2905,216,2905,216
"06001403100","Census Tract 4031, Alameda County, California","B01001_001",2101,256,2101,256
"06001403300","Census Tract 4033, Alameda County, California","B01001_001",4178,440,4178,440
"06001403400","Census Tract 4034, Alameda County, California","B01001_001",4340,340,4340,340
"06001403501","Census Tract 4035.01, Alameda County, California","B01001_001",4492,388,4492,388
"06001403502","Census Tract 4035.02, Alameda County, California","B01001_001",2044,236,2044,236
"06001403600","Census Tract 4036, Alameda County, California","B01001_001",5570,505,5570,505
"06001403701","Census Tract 4037.01, Alameda County, California","B01001_001",2968,235,2968,235
"06001403702","Census Tract 4037.02, Alameda County, California","B01001_001",1930,235,1930,235
"06001403800","Census Tract 4038, Alameda County, California","B01001_001",3351,270,3351,270
"06001403900","Census Tract 4039, Alameda County, California","B01001_001",4051,287,4051,287
"06001404000","Census Tract 4040, Alameda County, California","B01001_001",2895,218,2895,218
"06001404101","Census Tract 4041.01, Alameda County, California","B01001_001",3017,208,3017,208
"06001404102","Census Tract 4041.02, Alameda County, California","B01001_001",2653,173,2653,173
"06001404200","Census Tract 4042, Alameda County, California","B01001_001",3877,274,3877,274
"06001404300","Census Tract 4043, Alameda County, California","B01001_001",3443,216,3443,216
"06001404400","Census Tract 4044, Alameda County, California","B01001_001",5628,313,5628,313
"06001404501","Census Tract 4045.01, Alameda County, California","B01001_001",1809,128,1809,128
"06001404502","Census Tract 4045.02, Alameda County, California","B01001_001",5891,298,5891,298
"06001404600","Census Tract 4046, Alameda County, California","B01001_001",4625,295,4625,295
"06001404700","Census Tract 4047, Alameda County, California","B01001_001",2137,138,2137,138
"06001404800","Census Tract 4048, Alameda County, California","B01001_001",2647,203,2647,203
"06001404900","Census Tract 4049, Alameda County, California","B01001_001",4197,235,4197,235
"06001405000","Census Tract 4050, Alameda County, California","B01001_001",3394,189,3394,189
"06001405100","Census Tract 4051, Alameda County, California","B01001_001",4285,226,4285,226
"06001405200","Census Tract 4052, Alameda County, California","B01001_001",5183,297,5183,297
"06001405301","Census Tract 4053.01, Alameda County, California","B01001_001",2954,195,2954,195
"06001405302","Census Tract 4053.02, Alameda County, California","B01001_001",2373,247,2373,247
"06001405401","Census Tract 4054.01, Alameda County, California","B01001_001",3648,310,3648,310
