"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe","state","zip"
"0690001","ZCTA5 90001","B01001_001",59832,1842,59832,1842,"06","90001"
"0690002","ZCTA5 90002","B01001_001",53302,2254,53302,2254,"06","90002"
"0690003","ZCTA5 90003","B01001_001",73730,2162,73730,2162,"06","90003"
"0690004","ZCTA5 90004","B01001_001",60541,1738,60541,1738,"06","90004"
"0690005","ZCTA5 90005","B01001_001",39732,1493,39732,1493,"06","90005"
"0690006","ZCTA5 90006","B01001_001",59576,1493,59576,1493,"06","90006"
"0690007","ZCTA5 90007","B01001_001",42433,1410,42433,1410,"06","90007"
"0690008","ZCTA5 90008","B01001_001",31754,1394,31754,1394,"06","90008"
"0690010","ZCTA5 90010","B01001_001",3822,643,3822,643,"06","90010"
"0690011","ZCTA5 90011","B01001_001",111165,2097,111165,2097,"06","90011"
"0690012","ZCTA5 90012","B01001_001",36552,1263,36552,1263,"06","90012"
"0690013","ZCTA5 90013","B01001_001",12559,951,12559,951,"06","90013"
"0690014","ZCTA5 90014","B01001_001",8688,1133,8688,1133,"06","90014"
"0690015","ZCTA5 90015","B01001_001",22651,1051,22651,1051,"06","90015"
"0690016","ZCTA5 90016","B01001_001",45899,1704,45899,1704,"06","90016"
"0690017","ZCTA5 90017","B01001_001",27723,1084,27723,1084,"06","90017"
"0690018","ZCTA5 90018","B01001_001",53490,1697,53490,1697,"06","90018"
"0690019","ZCTA5 90019","B01001_001",64534,1998,64534,1998,"06","90019"
"0690020","ZCTA5 90020","B01001_001",39189,1130,39189,1130,"06","90020"
"0690021","ZCTA5 90021","B01001_001",2945,431,2945,431,"06","90021"
"0690022","ZCTA5 90022","B01001_001",67014,1732,67014,1732,"06","90022"
"0690023","ZCTA5 90023","B01001_001",46680,1652,46680,1652,"06","90023"
"0690024","ZCTA5 90024","B01001_001",51627,1440,51627,1440,"06","90024"
"0690025","ZCTA5 90025","B01001_001",46883,1684,46883,1684,"06","90025"
"0690026","ZCTA5 90026","B01001_001",68906,1719,68906,1719,"06","90026"
"0690027","ZCTA5 90027","B01001_001",44770,1243,44770,1243,"06","90027"
"0690028","ZCTA5 90028","B01001_001",29774,1174,29774,1174,"06","90028"
"0690029","ZCTA5 90029","B01001_001",36668,1244,36668,1244,"06","90029"
"0690031","ZCTA5 90031","B01001_001",39916,1306,39916,1306,"06","90031"
"0690032","ZCTA5 90032","B01001_001",48031,1161,48031,1161,"06","90032"
"0690033","ZCTA5 90033","B01001_001",49155,1526,49155,1526,"06","90033"
"0690034","ZCTA5 90034","B01001_001",53861,1431,53861,1431,"06","90034"
"0690035","ZCTA5 90035","B01001_001",27272,1182,27272,1182,"06","90035"
"0690036","ZCTA5 90036","B01001_001",37965,1512,37965,1512,"06","90036"
"0690037","ZCTA5 90037","B01001_001",67640,2085,67640,2085,"06","90037"
"0690038","ZCTA5 90038","B01001_001",28580,1257,28580,1257,"06","90038"
"0690039","ZCTA5 90039","B01001_001",29510,1280,29510,1280,"06","90039"
"0690040","ZCTA5 90040","B01001_001",12328,479,12328,479,"06","90040"
"0690041","ZCTA5 90041","B01001_001",29090,1161,29090,1161,"06","90041"
"0690042","ZCTA5 90042","B01001_001",63193,2016,63193,2016,"06","90042"
"0690043","ZCTA5 90043","B01001_001",45873,1783,45873,1783,"06","90043"
"0690044","ZCTA5 90044","B01001_001",99443,2733,99443,2733,"06","90044"
"0690045","ZCTA5 90045","B01001_001",40567,1516,40567,1516,"06","90045"
"0690046","ZCTA5 90046","B01001_001",50900,1242,50900,1242,"06","90046"
"0690047","ZCTA5 90047","B01001_001",51411,1984,51411,1984,"06","90047"
"0690048","ZCTA5 90048","B01001_001",21489,947,21489,947,"06","90048"
"0690049","ZCTA5 90049","B01001_001",36418,1151,36418,1151,"06","90049"
"0690056","ZCTA5 90056","B01001_001",7649,782,7649,782,"06","90056"
"0690057","ZCTA5 90057","B01001_001",50152,1599,50152,1599,"06","90057"
"0690058","ZCTA5 90058","B01001_001",2718,775,2718,775,"06","90058"
"0690059","ZCTA5 90059","B01001_001",46185,1939,46185,1939,"06","90059"
"0690061","ZCTA5 90061","B01001_001",27873,1316,27873,1316,"06","90061"
"0690062","ZCTA5 90062","B01001_001",35916,1756,35916,1756,"06","90062"
"0690063","ZCTA5 90063","B01001_001",53980,1875,53980,1875,"06","90063"
"0690064","ZCTA5 90064","B01001_001",25925,1135,25925,1135,"06","90064"
"0690065","ZCTA5 90065","B01001_001",46461,1281,46461,1281,"06","90065"
"0690066","ZCTA5 90066","B01001_001",59167,1465,59167,1465,"06","90066"
"0690067","ZCTA5 90067","B01001_001",2428,244,2428,244,"06","90067"
"0690068","ZCTA5 90068","B01001_001",21092,1007,21092,1007,"06","90068"
"0690069","ZCTA5 90069","B01001_001",20230,1064,20230,1064,"06","90069"
"0690071","ZCTA5 90071","B01001_001",126,75,126,75,"06","90071"
"0690073","ZCTA5 90073","B01001_001",953,364,953,364,"06","90073"
"0690077","ZCTA5 90077","B01001_001",8382,635,8382,635,"06","90077"
"0690079","ZCTA5 90079","B01001_001",0,12,0,12,"06","90079"
"0690089","ZCTA5 90089","B01001_001",3786,333,3786,333,"06","90089"
"0690090","ZCTA5 90090","B01001_001",0,12,0,12,"06","90090"
"0690094","ZCTA5 90094","B01001_001",9827,841,9827,841,"06","90094"
"0690095","ZCTA5 90095","B01001_001",0,12,0,12,"06","90095"
"0690201","ZCTA5 90201","B01001_001",101965,63,101965,63,"06","90201"
