"countyName","year","sex","ageGroup","raceNameShort","population"
"Alameda",2020,"FEMALE","[0,10]","White",29895
"Alameda",2020,"FEMALE","(10,20]","White",24132
"Alameda",2020,"FEMALE","(20,30]","White",32672
"Alameda",2020,"FEMALE","(30,40]","White",38803
"Alameda",2020,"FEMALE","(40,50]","White",33527
"Alameda",2020,"FEMALE","(50,60]","White",39398
"Alameda",2020,"FEMALE","(60,70]","White",41117
"Alameda",2020,"FEMALE","(70,80]","White",27759
"Alameda",2020,"FEMALE","(80,90]","White",11465
"Alameda",2020,"FEMALE","(90,100]","White",2932
"Alameda",2020,"FEMALE","(100,110]","White",28
"Alameda",2020,"FEMALE","[0,10]","Black",9801
"Alameda",2020,"FEMALE","(10,20]","Black",11653
"Alameda",2020,"FEMALE","(20,30]","Black",14801
"Alameda",2020,"FEMALE","(30,40]","Black",13721
"Alameda",2020,"FEMALE","(40,50]","Black",13229
"Alameda",2020,"FEMALE","(50,60]","Black",13886
"Alameda",2020,"FEMALE","(60,70]","Black",12723
"Alameda",2020,"FEMALE","(70,80]","Black",7276
"Alameda",2020,"FEMALE","(80,90]","Black",3092
"Alameda",2020,"FEMALE","(90,100]","Black",762
"Alameda",2020,"FEMALE","(100,110]","Black",6
"Alameda",2020,"FEMALE","[0,10]","AI/AN",352
"Alameda",2020,"FEMALE","(10,20]","AI/AN",259
"Alameda",2020,"FEMALE","(20,30]","AI/AN",302
"Alameda",2020,"FEMALE","(30,40]","AI/AN",434
"Alameda",2020,"FEMALE","(40,50]","AI/AN",301
"Alameda",2020,"FEMALE","(50,60]","AI/AN",368
"Alameda",2020,"FEMALE","(60,70]","AI/AN",288
"Alameda",2020,"FEMALE","(70,80]","AI/AN",221
"Alameda",2020,"FEMALE","(80,90]","AI/AN",58
"Alameda",2020,"FEMALE","(90,100]","AI/AN",12
"Alameda",2020,"FEMALE","(100,110]","AI/AN",1
"Alameda",2020,"FEMALE","[0,10]","Asian",24266
"Alameda",2020,"FEMALE","(10,20]","Asian",25329
"Alameda",2020,"FEMALE","(20,30]","Asian",29164
"Alameda",2020,"FEMALE","(30,40]","Asian",33255
"Alameda",2020,"FEMALE","(40,50]","Asian",36088
"Alameda",2020,"FEMALE","(50,60]","Asian",30955
